"Gemeente"	"Jaar"	"Banen totaal"	"Vestigingen totaal"
"Hardenberg"	"2017"	"25090"	"5060"
"Harderwijk"	"2017"	"23570"	"3730"
"Hardinxveld-Giessendam"	"2017"	"8260"	"1340"
"Haren"	"2017"	"7300"	"1720"
"Harlingen"	"2017"	"6500"	"1420"
"Hattem"	"2017"	"4150"	"960"
"Heemskerk"	"2017"	"8940"	"2090"
"Heemstede"	"2017"	"8240"	"2400"
"Heerde"	"2017"	"7210"	"1390"
"Heerenveen"	"2017"	"29670"	"4810"
"Heerhugowaard"	"2017"	"22160"	"3910"
"Heerlen"	"2017"	"52960"	"6110"
"Heeze-Leende"	"2017"	"6130"	"1700"
"Heiloo"	"2017"	"6640"	"1910"
"Hellendoorn"	"2017"	"13950"	"2840"
"Hellevoetsluis"	"2017"	"10440"	"2270"
"Helmond"	"2017"	"43080"	"7090"
"Hendrik-Ido-Ambacht"	"2017"	"8150"	"1850"
"Hengelo"	"2017"	"47410"	"7050"
"het Bildt"	"2017"	"3850"	"940"
"Heumen"	"2017"	"5170"	"1440"
"Heusden"	"2017"	"14090"	"3250"
"Hillegom"	"2017"	"7410"	"1650"
"Hilvarenbeek"	"2017"	"6210"	"1630"
"Hilversum"	"2017"	"45650"	"8480"
"Hof van Twente"	"2017"	"15760"	"3680"
"Hollands Kroon"	"2017"	"17370"	"5180"
"Hoogeveen"	"2017"	"27900"	"4090"
"Hoogezand-Sappemeer"	"2017"	"13520"	"1990"
"Hoorn"	"2017"	"32240"	"5760"
"Horst aan de Maas"	"2017"	"18220"	"3740"
"Houten"	"2017"	"24080"	"4660"
"Huizen"	"2017"	"12860"	"3180"
"Hulst"	"2017"	"9680"	"2480"
"IJsselstein"	"2017"	"14010"	"2790"
"Kaag en Braassem"	"2017"	"9280"	"2470"
"Kampen"	"2017"	"21150"	"4400"
"Kapelle"	"2017"	"4920"	"1290"
"Katwijk"	"2017"	"23250"	"3980"
"Kerkrade"	"2017"	"14850"	"2880"
"Koggenland"	"2017"	"7930"	"2090"
"Kollumerland en Nieuwkruisland"	"2017"	"3870"	"1190"
"Korendijk"	"2017"	"2550"	"870"
"Krimpen aan den IJssel"	"2017"	"9760"	"1930"
"Krimpenerwaard"	"2017"	"19830"	"4810"
"Laarbeek"	"2017"	"7910"	"2140"
"Landerd"	"2017"	"5870"	"1250"
"Landgraaf"	"2017"	"9680"	"2300"
"Landsmeer"	"2017"	"3440"	"1550"
"Langedijk"	"2017"	"8550"	"2240"
"Lansingerland"	"2017"	"25860"	"5000"
"Laren"	"2017"	"4550"	"1310"
"Leek"	"2017"	"9270"	"1640"
"Leerdam"	"2017"	"9060"	"1450"
"Leeuwarden"	"2017"	"68350"	"9310"
"Leeuwarderadeel"	"2017"	"2610"	"810"
"Leiden"	"2017"	"71350"	"9630"
"Leiderdorp"	"2017"	"12090"	"1920"
"Leidschendam-Voorburg"	"2017"	"21930"	"5710"
"Lelystad"	"2017"	"36770"	"7060"
"Leudal"	"2017"	"13870"	"3320"
"Leusden"	"2017"	"14360"	"3020"
"Lingewaal"	"2017"	"3970"	"1020"
"Lingewaard"	"2017"	"15230"	"3610"
"Lisse"	"2017"	"8870"	"1790"
"Littenseradiel"	"2017"	"3210"	"1240"
"Lochem"	"2017"	"14040"	"3440"
"Loon op Zand"	"2017"	"9560"	"2040"
"Lopik"	"2017"	"5380"	"1460"
"Loppersum"	"2017"	"2460"	"840"
"Losser"	"2017"	"7920"	"1820"
"Maasdriel"	"2017"	"10520"	"2770"
"Maasgouw"	"2017"	"8130"	"2270"
"Maassluis"	"2017"	"7850"	"1960"
"Maastricht"	"2017"	"71530"	"10330"
"Marum"	"2017"	"3480"	"930"
"Medemblik"	"2017"	"19500"	"4300"
